01;04358798000107;LEGCCA;CC;20200217;;;;;
02;F;37223596945;PESSOA CASO 11030.1;20190112;99991231;1;1001;155000;0
02;J;44879504000107;EMPRESA CASO 11030.1;20190112;99991231;1;1001;155001;0
02;F;12327881633;PESSOA CASO 11030.2;20190113;99991231;1;1001;155002;0
02;J;30023937000143;EMPRESA CASO 11030.2;20190113;99991231;1;1001;155003;0
02;F;51680239163;PESSOA CASO 11030.4 - Aceitar Atraso;20190105;99991231;1;1001;155004;0
02;J;25169948000104;EMPRESA CASO 11030.4 - Aceitar Atraso;20190105;99991231;1;1001;155005;0
02;F;69555898146;PESSOA CASO 11030.5 - Ajustar Atraso;20190105;99991231;1;1001;155004;0
02;J;79859838000195;EMPRESA CASO 11030.5 - Ajustar Atraso;20190105;99991231;1;1001;155005;0
02;F;87085818948;PESSOA CASO 11030.21;20181228;20190112;1;1001;54335;0
02;J;42111382000170;EMPRESA CASO 11030.22;20170124;20190113;1;1001;55012;0
02;F;56560424057;PESSOA CASO ATRASO;20180111;99991231;1;1001;99912;0
99;13;;;;;;;;
